ResponseCode,Failure Type,Exception,Description
00000000,SUCCESS,ULinkSuccessException,This response code is returned if the desired response is returned.
59906002,System Error,ULinkInternalServerErrorException,This response code is returned if the system fails to execute a request.
59906004,System Unavailable,ULinkApplicationException,This response code is returned if the system is not up.
59906005,Network Problem,ULinkNetworkException,This response code is returned if a network problem comes.
59907006,Validation,ULinkAuthFailureException,This response code is returned in case of authentication failure.
50103003,Insufficient Data,ULinkInSuifficientDataException,This response code is returned if the request does not have all mandatory fields.
59903001,Security,ULinkInvalidPartnerCodeException,This response code is returned if partner code in request is invalid.
,Validation,,
51102001,Validation,ULinkDuplicateTxnException,"This response code is returned, someone tries to send more than one transaction with the same information within a certain interval."
,,," To avoid this situation, it is suggested to change either amount and/or beneficiary."
51102002,.,ULinkTxnNotCreatedException,This response is returned if the system is not sure that the transaction is created in the system or not.
,,," To make sure whether the transaction is created successfully or not, it is suggested to check the transaction summary."
59902003,Validation,ULinkNoChangeRequiredException,This response code is returned if a change request is received but the information requested to change already exists in the system and no changes required.
51108001,Validation,ULinkPaymentFailedException,This response code is returned if payment fails at the payment processor due to some reason.
,,," For Example: Low balance, Payment Processor system error, authentication failure etc."
51108002,Validation.,ULinkTxnAlreadyConfirmedException,This response code is returned if someone tries to confirm a transaction which is already created and confirmed.
51108002,Validation,ULinkTxnAlreadyConfirmedException,This response code is returned if someone tries to confirm a transaction which is already created and confirmed.
51104010,Validation,ULinkTxnNotPayableException,This response code is returned if someone tries to cancel a transaction which is not in payable status.
50108004,Validation,ULinkSessionExpiredException,This response code is returned if the user's session is expired.
50105002,Validation,ULinkUserPasswordMismatchException,This response code is returned if either user ID or password does not match.
50107003,Validation,ULinkPasswordExpiredException,This response code is returned if the user's password has expired or the user has requested a temporary password and then logged in using temporary password.
50105005,Validation,ULinkDeviceNotRegisteredException,This response code is returned if the device is not registered at the time of login.
50107004,Validation,ULinkBlackListedException,This response code is returned if a user caught in black list check at the time of sign up.
50107005,Validation,ULinkFraudException,This response code is returned if the user  is caught in a fraud check at the time of sign up.
50104001,Validation,ULinkUserLockedOutException,This response code is returned if the user's Id is locked due to certain numbers of failed tries with the wrong password.
50102001,Validation,ULinkEmailNotSentException,This response code is returned if request is processed and email is not sent due to some error while sending email.
50102002,Validation,ULinkUserPendingException,This response code returned if user tries to login/sign up with user id already existing with pending status in the system
50102003,Validation,ULinkUserAlreadyActiveException,This response code returns if the user tries to authenticate already active or provisional active user id.
50102004,,ULinkUserProvisionalActiveException,This response code returns if provisional active tries to login. This is a warning and it should be considered a success.
50102005,,ULinkUserInformationVerificationSuccessException,"This response code is returned if information verification questions are provided in response. This is a warning, it should be considered a success."
50102006,,ULinkUserSecurityQuestionsRequiredException,This response code is returned if security questions are required.
50102007,,ULinkUserProfileAlreadySetupException,This response code returned if profile is already setup.
50102008,,ULinkUserSecurityQuestionValidException,The response to the security question is valid.
50102009,,ULinkUserUICValidException,This response code is returned if the user gives the correct UIC.
50102010,,ULinkUserUICSentSuccessException,The UniTeller identification code has been sent successfully.
50104004,,ULinkUserPasswordNotMatchException,This response code returned if the password entered does not match with the registered password.
50104008,,ULinkUserPasswordPreviouslyUsedException,"This response code is returned if a user tries to change password with previously used passwords (Number of used passwords is configurable at UniTeller side, currently it is 5)."
50104009,,ULinkUserPasswordPatternNotMatchException,This response code returns if the password entered by the user doesn’t match the password pattern rule.
50104010,,ULinkUserEmailPatternNotMatchException,This response code returns if the email address entered by the user doesn’t match the email address pattern rule.
51102903,,ULinkRemitterVelocityCheckException,"This is a confirmation type warning. This response code is returned if the remitter's transaction is caught in a velocity check. If a user chooses to do a transaction, it will be created in HOLD status."
51102904,Validation,,
51104001,Validation,ULinkUserLimitExceededException,This response code returns if the user's Limit allowed to the user is exceeded.  More details can be explained in the response message.
51104002,Validation,ULinkUserBankAccountNotVerifiedException,This response code returned if user tries to do transaction with unverified bank account.
51104003,Validation,ULinkUserCreditCardNotVerifiedException,This response code is returned if the user tries to do a transaction with an unverified credit card.
51104004,Validation,ULinkUserDebitCardNotVerifiedException,This response code is returned if the user tries to do a transaction with an unverified debit card.
51104005,Validation,ULinkUserUlinkCardNotVerifiedException,This response code is returned if the user tries to do a transaction with an unverified Ulink card.
51104006,Validation,ULinkUserBankAccountLimitExceededException,This response code is returned if the user's bank account transaction amount limit is exceeded.
51104007,Validation,ULinkUserCreditCardLimitExceededException,This response code returned if the user's credit card transaction amount limit exceeded.
51104008,Validation,ULinkUserDebitCardLimitExceededException,This response code returned if the user's debit card transaction amount limit exceeded.
