API Name,S.No.,URI,Resp Code,New Resp Code,Class Name
ULinkClient,1,/ProfileManagement/AddBeneficiary,00000000,0000,
,,,59906002,6080,
,,,59903005,6071,
,,,50103003,6013,
,,,59903001,6068,
,,,50108004,6035,
,,,50105002,6020,
,,,59903008,6074,
,,,59908013,6096,
,,,59903006,6072,
,,,50105008,6025,
,,,59903007,6073,
,,,,,
,2,/ProfileManagement/AddSendingMethod,,,
,,,,,
,3,/Remittance/SendMoneyPreview,00000000,0000,
,,,59903005,6071,
,,,59906002,6080,
,,,50103003,6013,
,,,50108004,6035,
,,,59903001,6068,
,,,50105002,6020,
,,,59903002,6069,
,,,59903007,6073,
,,,51102903,6043,
,,,50105003,6021,
,,,59903003,6070,
,,,51107002,6061,
,,,51104002,6048,
,,,51104003,6049,
,,,51104004,6050,
,,,51107001,6060,
,,,51102904,6044,
,,,50105004,6022,
,,,51108002,6063,
,,,51104001,6047,
,,,59905003,6078,
,,,59905004,6079,
,,,59906004,6081,
,,,19906005,6002,
,,,19906002,6001,
,,,,,
,4,/Remittance/SendMoneyConfirm,00000000,0000,
,,,59906002,6080,
,,,59903005,6071,
,,,50103003,6013,
,,,59903001,6068,
,,,50108004,6035,
,,,50105002,6020,
,,,59904001,6075,
,,,59906005,6082,
,,,51103002,6046,
,,,50102010,6012,
,,,51102001,6039,
,,,51108001,6062,
,,,59906005,6082,
,,,51102002,6040,
,,,,,
,5,/Common/v3/PayerWithReceptionMethodsList,00000000,0000,
,,,59906002,6080,
,,,59903005,6071,
,,,50103003,6013,
,,,59903001,6068,
,,,59903006,6072,
,,,59903007,6073,
,,,,,
,6,/ProfileManagement/getUserId,,,
,,,,,
,7,/ProfileManagement/SendingMethodSummaryList,00000000,0000,
,,,59906002,6080,
,,,59903005,6071,
,,,50103003,6013,
,,,59903001,6068,
,,,50108004,6035,
,,,50105002,6020,
,,,,,
,8,/ProfileManagement/link/token/create,,,
,,,,,
,9,/Common/ExternalQuickQuotes,00000000,0000,
,,,59906002,6080,
,,,59903005,6071,
,,,50103003,6013,
,,,59903001,6068,
,,,59903008,6074,
,,,59903006,6072,
,,,59903007,6073,
,,,,,
,10,/ProfileManagement/SendPlaidLinkDetails,,,
,,,,,
,11,/Common/PayerBranchDetails,00000000,0000,
,,,59906002,6080,
,,,59903005,6071,
,,,50103003,6013,
,,,59903001,6068,
,,,59903008,6074,
,,,,,
,12,/Common/TxUnhold,,,
,,,,,
,13,/Remittance/CancelTransaction,00000000,0000,
,,,59903005,6071,
,,,59906002,6080,
,,,50103003,6013,
,,,59903001,6068,
,,,50108004,6035,
,,,50105002,6020,
,,,51103001,6045,
,,,51104010,6056,
,,,51104011,6057,
,,,51102005,6042,
,,,51104012,6058,
,,,59906005,6082,
,,,51102004,6041,
,,,51104013,6059,
