API Name,S.No.,URI,Resp Code,New Resp Code,Class Name
ULinkClient,1,/ProfileManagement/AddBeneficiary,00000000,0000,ULinkSuccessException
,,,59906002,6080,ULinkInternalServerErrorException
,,,59903005,6071,ULinkInvalidReqDataException
,,,50103003,6013,ULinkInSuifficientReqDataException
,,,59903001,6068,ULinkInvalidPartnerCodeException
,,,50108004,6035,ULinkSessionExpiredException
,,,50105002,6020,ULinkUserPasswordMismatchException
,,,59903008,6074,ULinkInvalidPayerException
,,,59908013,6096,ULinkBeneNumberLimitExceededException
,,,59903006,6072,ULinkInvalidCountryNumberException
,,,50105008,6025,ULinkPayerRequiresBranchInfoException
,,,59903007,6073,ULinkInvalidCurrencyException
,,,,,
,2,/ProfileManagement/AddSendingMethod,,,
,,,,,
,3,/Remittance/SendMoneyPreview,00000000,0000,ULinkSuccessException
,,,59903005,6071,ULinkInvalidReqDataException
,,,59906002,6080,ULinkInternalServerErrorException
,,,50103003,6013,ULinkInSuifficientReqDataException
,,,50108004,6035,ULinkSessionExpiredException
,,,59903001,6068,ULinkInvalidPartnerCodeException
,,,50105002,6020,ULinkUserPasswordMismatchException
,,,59903002,6069,ULinkInvalidBeneIdException
,,,59903007,6073,ULinkInvalidCurrencyException
,,,51102903,6043,ULinkRemitterVelocityCheckException
,,,50105003,6021,ULinkUserNotActiveException
,,,59903003,6070,ULinkInvalidSendingMethodException
,,,51107002,6061,ULinkTxnCaughtInVelocityRulesException
,,,51104002,6048,ULinkUserBankAccountNotVerifiedException
,,,51104003,6049,ULinkUserCreditCardNotVerifiedException
,,,51104004,6050,ULinkUserDebitCardNotVerifiedException
,,,51107001,6060,ULinkTxnInPaymentProcessingException
,,,51102904,6044,
,,,50105004,6022,ULinkUserSuspendedOrLockedException
,,,51108002,6063,ULinkTxnAlreadyConfirmedException
,,,51104001,6047,ULinkUserLimitExceededException
,,,59905003,6078,ULinkBeneAdditionalFieldRequiredException
,,,59905004,6079,ULinkTxnAdditionalFieldRequiredException
,,,59906004,6081,ULinkApplicationException
,,,19906005,6002,
,,,19906002,6001,
,,,,,
,4,/Remittance/SendMoneyConfirm,00000000,0000,ULinkSuccessException
,,,59906002,6080,ULinkInternalServerErrorException
,,,59903005,6071,ULinkInvalidReqDataException
,,,50103003,6013,ULinkInSuifficientReqDataException
,,,59903001,6068,ULinkInvalidPartnerCodeException
,,,50108004,6035,ULinkSessionExpiredException
,,,50105002,6020,ULinkUserPasswordMismatchException
,,,59904001,6075,
,,,59906005,6082,ULinkNetworkException
,,,51103002,6046,ULinkInvalidTxnInternalReferenceException
,,,50102010,6012,ULinkUserUICSentSuccessException
,,,51102001,6039,ULinkDuplicateTxnException
,,,51108001,6062,ULinkPaymentFailedException
,,,59906005,6082,ULinkNetworkException
,,,51102002,6040,ULinkTxnNotCreatedException
,,,,,
,5,/Common/v3/PayerWithReceptionMethodsList,00000000,0000,ULinkSuccessException
,,,59906002,6080,ULinkInternalServerErrorException
,,,59903005,6071,ULinkInvalidReqDataException
,,,50103003,6013,ULinkInSuifficientReqDataException
,,,59903001,6068,ULinkInvalidPartnerCodeException
,,,59903006,6072,ULinkInvalidCountryNumberException
,,,59903007,6073,ULinkInvalidCurrencyException
,,,,,
,6,/ProfileManagement/getUserId,,,
,,,,,
,7,/ProfileManagement/SendingMethodSummaryList,00000000,0000,ULinkSuccessException
,,,59906002,6080,ULinkInternalServerErrorException
,,,59903005,6071,ULinkInvalidReqDataException
,,,50103003,6013,ULinkInSuifficientReqDataException
,,,59903001,6068,ULinkInvalidPartnerCodeException
,,,50108004,6035,ULinkSessionExpiredException
,,,50105002,6020,ULinkUserPasswordMismatchException
,,,,,
,8,/ProfileManagement/link/token/create,,,
,,,,,
,9,/Common/ExternalQuickQuotes,00000000,0000,ULinkSuccessException
,,,59906002,6080,ULinkInternalServerErrorException
,,,59903005,6071,ULinkInvalidReqDataException
,,,50103003,6013,ULinkInSuifficientReqDataException
,,,59903001,6068,ULinkInvalidPartnerCodeException
,,,59903008,6074,ULinkInvalidPayerException
,,,59903006,6072,ULinkInvalidCountryNumberException
,,,59903007,6073,ULinkInvalidCurrencyException
,,,,,
,10,/ProfileManagement/SendPlaidLinkDetails,,,
,,,,,
,11,/Common/PayerBranchDetails,00000000,0000,ULinkSuccessException
,,,59906002,6080,ULinkInternalServerErrorException
,,,59903005,6071,ULinkInvalidReqDataException
,,,50103003,6013,ULinkInSuifficientReqDataException
,,,59903001,6068,ULinkInvalidPartnerCodeException
,,,59903008,6074,ULinkInvalidPayerException
,,,,,
,12,/Common/TxUnhold,,,
,,,,,
,13,/Remittance/CancelTransaction,00000000,0000,ULinkSuccessException
,,,59903005,6071,ULinkInvalidReqDataException
,,,59906002,6080,ULinkInternalServerErrorException
,,,50103003,6013,ULinkInSuifficientReqDataException
,,,59903001,6068,ULinkInvalidPartnerCodeException
,,,50108004,6035,ULinkSessionExpiredException
,,,50105002,6020,ULinkUserPasswordMismatchException
,,,51103001,6045,ULinkInvalidTxnNumberException
,,,51104010,6056,ULinkTxnNotPayableException
,,,51104011,6057,ULinkCancellationNotAllowedException
,,,51102005,6042,ULinkTxnCancellationPendingException
,,,51104012,6058,ULinkTxnNotInPendingStatusException
,,,59906005,6082,ULinkNetworkException
,,,51102004,6041,ULinkTxnAlreadyCancelledException
,,,51104013,6059,ULinkTxnDoesNotExistException
