ErrorCode,Failure Type,Description,NewErrorCode, Exception Class Name
00000000,SUCCESS,This response code is returned if desired response is returned.,0000, ULinkSuccessException
59906002,System Error,This response code is returned if system fails to execute request.,6069, ULinkSysErrorException
59906004,System Unavailable,This response code is returned if system is not up.,6070, ULinkSysUnavailableException
59906005,Network Problem,This response code is returned if network problem comes.,6071, ULinkNetworkException
59907006,Validation,This response code is returned in case of authentication failure.,6072, ULinkValidationException
50103003,Insufficient Data,This response code returned if request does not have all mandatory fields.,6011, ULinkInsufficientDataException
59903001,Security Validation,This response code is returned if partner code in request is invalid.,6058, ULinkInvalidPartnerCodeException
51102001,Validation,"This response code is returned, someone tries to send more than one transaction with same information within a certain interval. To avoid this situation, it is suggested to change either amount and/or beneficiary.",6029, ULinkDuplicateTxnException
51102002,.,"This error is returned if system is not sure that the transaction is created in the system or not. To make sure whether the transaction is created successfully or not, it is suggested to check transaction summary.",6030, ULinkTxnNotSureException
59902003,Validation,This response code is returned if edit request is received but the information requested to change already exists in the system and no changes required.,6054, ULinkNoChangeRequiredException
51108001,Validation,"This response code is returned if payment fails at payment processor due to some reason. For Example: Low balance, Payment Processor system error, authentication failure etc.",6052, ULinkPaymntFailException
51108002,Validation.,This response code is returned if someone tries to confirm a transaction which is already created and confirmed.,6053, ULinkTxnAlreadyConfirmedException
51108002,Validation,This response code is returned if someone tries to confirm a transaction which is already created and confirmed.,6053, ULinkTxnAlreadyConfirmedException
51104010,Validation,This response code is returned if someone tries to cancel a transaction which is not in payable status.,6046, ULinkTxnNotPayableException
50108004,Validation,This response code is returned if user's session is expired.,6025, ULinkSessionExpiredException
50105005,Validation,This response code is returned if device is not registered at the time of login.,6015, ULinkDeviceNotRegisteredException
50107004,Validation,This response code is returned if user caught in black list check at the time of sign up.,6019, ULinkBlackListedException
50107005,Validation,This response code is returned if user caught in fraud check at the time of sign up.,6020, ULinkFraudException
50102001,Validation,This response code is returned if request is processed and email is not sent due to some error while sending email.,6001, ULinkEmailNotSentException
50102002,Validation,This response code returned if user tries to login/sign up with user id already existing with pending status in the system,6002, ULinkPendingUserException
50102003,Validation,This response code returned if user tries to authenticate already active or provisional active user id.,6003, ULinkUserAlreadyActiveException
50102004,,This response code returned if provisional active tries to login. This is warning and it should be considered as success.,6004, ULinkProvisionalActiveException
50102005,,"This response code returned if information verification questions provided in response. This is a warning, it should be considered as success.",6005, ULinkInfoVerificationSuccessException
50102006,,This response code returned if security questions required.,6006, ULinkSecurityQuesReqException
50102007,,This response code returned if profile is already setup,6007, ULinkProfileAlreadySetupException
50102008,,The answer of security question is valid.,6008,  ULinkSecurityQuesValidException
50102009,,This response code returned if user gives correct UIC.,6009, ULinkUICValidException
50102010,,The UniTeller identification code has been sent successfully.,6010, ULinkUICSentException
50104010,,"This response code returned if email address entered by user doesn't match email address pattern rule.",6012, ULinkInvalidEmailException
51102903,,"This is a confirmation type warning. This response code returned if remitter's transaction caught in velocity check, If user chooses to do transaction, it will be created in HOLD status.",6033, ULinkRemitterVelocityException
51102904,Validation,,6034, ULinkVelocityCheckException
51104001,Validation,This response code returned if user's Limit allowed to the user is exceeded. More details can be explained in error message.,6037, ULinkUserLimitExceededException
51104002,Validation,This response code returned if user tries to do transaction with unverified bank account.,6038, ULinkUnverifiedBankAccountException
51104003,Validation,This response code returned if user tries to do transaction with unverified credit card.,6039, ULinkUnverifiedCreditCardException
51104004,Validation,This response code returned if user tries to do transaction with unverified debit card.,6040, ULinkUnverifiedDebitCardException
